time,RCC_HMI,systemd,dbus-daemon,procbase_out.ou,mmcqd/1,systemd-udevd,dbus-monitor,systemctl,fc_bluetooth_ou,ccamediaplayer_,proctuner_out.o,procaudio_out.o,sshd,systemd-cgroups,systemd-readahe,fc_phone_out.ou,fc_phonebook_ou,fc_messaging_ou,spi0,fc_vehiclefuncm,EngMode,TactileTest,acl_tuner_out.o,dlt-daemon,udevadm,procdiagnosis_o,AudioManager,vd_early_out.ou,cat,ksoftirqd/0,mount,fc_engineeringm,acl_settings_ou,irq/66-2014000.,mkadc_testlink.,spi1,SSI32,mkadc_symlink.s,vd_devicemanage,LayerManagerSer,kworker/0:1H,procdimming_out,systemd-journal,kmodule_loader,fc_dataservices,modprobe,playerengine_ou,acl_phone_out.o,bluetoothservic,app_fcswupdate_,procinput_out.o,rcu_preempt,mediaengine_out,audio_master_ou,acl_media_out.o,procmw_out.out,climate_out.out,chown,acl_connectivit,vd_ipodauth_out,procdiaglog_out,acl_climate_out,kthreadd,automounter,fc_connect_out.,fc_alert_out.ou,chmod,trace_dlt_be,fc_cdplayer_out,fc_servicemanag,irq/63-2008000.,sh,fc_obc_out.out,csm_proc_out.ou,acl_obc_out.out,fc_hybrid_out.o,app_screentest_,network.sh,appcontrol_out.,connmand,fc_vpas_out.out,acl_parkingaid_,grep,displaymanager_,acl_audio_out.o,acl_drive_out.o,acl_update_out.,acl_hybrid_out.,modify_gpio_adc,fc_usb_out.out,fc_atb_out.out,rm,screencalibrati,acl_alert_out.o,fc_exportservic,usermanagement_,ecnr_out.out,fc_clock_out.ou,acl_speedcontro,swu_common_lcm_,Misc
7.5,0,0.3914613,0.00202014,0,0.05282388,0,0,0,0,0,0,0,0,0.09282054,0.06121914,0,0,0,0.00826188,0,0,0,0,0,0,0,0,0.005214,0,0.01620588,0,0,0,0,0,0,0.00314928,0,0,0,0.00708402,0,0,0,0,0,0,0,0,0,0,0.00610248,0,0,0,0,0,0.12656694,0,0,0,0,0.00240546,0,0,0,0.12162024,0,0,0,0.00246606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06808836,0,0,0,0,0,0,0,0,0,0,0,0.0324904
7.75,0,0.16113702,0,0,0.01444032,0,0,0,0,0,0,0,0.02960966,0.07696002,0,0,0,0,0.00906024,0,0,0,0,0,0,0,0,0.0056769,0,0.0063171,0,0,0,0,0,0.00138138,0.00459228,0,0,0,0.00087816,0,0,0,0,0,0.11360994,0,0,0,0,0.0050769,0,0,0,0,0,0,0,0,0,0,0.0017439,0,0,0,0,0,0,0,0.00280122,0,0,0.0959262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47078876
8,0,0.15722688,0.03128502,0,0.0440826,0,0.0983952,0,0,0,0,0,0.15953104,0.01000764,0,0,0,0,0.00940008,0,0,0,0,0.00118848,0,0,0,0.00829662,0.057678,0.00428568,0,0,0,0,0,0,0.00421368,0,0,0,0.00434778,0,0,0,0,0,0.15287676,0,0,0,0,0.0040248,0,0,0,0,0,0,0,0,0,0,0.00141198,0,0,0,0,0.00189252,0,0,0.00529548,0,0,0.04482744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19973232
8.25,0,0.0129006,0.02607192,0.35056906,0.02443278,0,0.0153354,0,0,0,0,0,0.22551612,0,0,0,0,0,0.00855396,0,0,0,0,0.0011274,0,0,0,0.00568152,0,0.00486132,0,0,0,0,0,0.00666234,0.00708894,0,0,0,0.00172854,0,0,0,0,0,0.16078878,0,0,0,0,0.00358572,0,0,0,0,0,0,0,0,0,0,0.00128862,0,0,0,0,0.00243426,0,0,0.00327684,0,0,0.0486129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08948298
8.5,0,0.00111768,0.06052692,0.41547932,0.00875736,0,0.03314886,0,0,0,0,0,0.04111946,0,0,0,0,0,0.0060414,0,0,0,0,0.00289056,0,0,0,0.00442734,0,0.0028707,0,0,0,0,0,0,0.00240876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019332,0,0,0,0,0,0,0,0,0,0,0.00048552,0,0,0,0,0.00563484,0,0,0.00190542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02395014
8.75,0,0,0,0.34256382,0.0624033,0,0,0,0,0,0,0,0.32851852,0,0,0,0,0,0.00899082,0,0,0,0,0.01012722,0,0,0,0.005817,0,0.01082472,0,0,0,0.05613372,0,0.02221572,0.0111324,0,0,0,0.00682686,0,0,0,0,0,0,0,0,0,0,0.00416844,0,0,0,0,0,0,0,0,0,0,0.01604226,0.00182574,0,0,0,0.0234822,0,0,0.00318168,0,0,0.0050526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03792588
9,0,0.07883514,0.0130338,0.29360472,0.01699254,0,0.00749862,0.18697684,0,0,0,0,0.00673626,0,0,0,0,0,0.00924552,0,0,0,0,0.00709326,0,0,0,0.00524796,0,0.00877608,0,0,0,0,0,0.01276794,0.00782088,0,0,0,0.00141096,0,0,0,0,0,0,0,0,0,0,0.00355584,0,0,0,0,0,0,0,0,0.11282376,0,0.00452526,0,0,0,0,0.01532676,0,0,0.00316992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00371352
9.25,0,0.15349596,0.0142425,0.12567342,0,0,0.00894492,0.1741181,0,0,0,0,0.00379098,0,0,0,0,0,0.00843414,0,0,0,0,0,0,0.17096496,0,0.00548076,0,0.00656106,0,0,0,0,0,0.00141408,0.00413784,0,0,0,0,0.05297288,0,0,0,0,0,0,0,0,0,0.00423828,0,0,0,0,0,0,0,0,0.25460244,0,0.00016566,0,0,0,0,0,0,0,0.00326916,0,0,0.00150168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00599118
9.5,0,0.08712432,0.01103232,0.02845578,0,0,0.00275202,0.20389248,0,0,0,0,0.00754908,0,0,0,0,0,0.008721,0,0,0,0,0.00402786,0,0.22368594,0,0.00665166,0,0.00838764,0,0,0,0,0,0,0.00373494,0,0,0,0,0.18625558,0,0,0,0,0,0,0,0,0,0.00448314,0,0,0,0,0,0,0,0,0.14845848,0,0,0,0,0,0,0.00818166,0,0,0.0027933,0,0,0,0,0,0,0,0,0,0.05261622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119658
9.75,0,0.0863445,0.09392388,0.02699718,0,0,0.0561507,0.11848984,0,0,0,0,0.00377688,0,0,0,0,0,0.00864288,0,0,0,0,0.00084438,0,0.220968,0,0.00639342,0,0.0068295,0,0,0,0,0,0.0013701,0.0042351,0,0,0,0,0.15113628,0,0,0,0,0,0,0,0,0,0.00414948,0,0,0,0,0,0,0,0,0,0,0.00023592,0,0,0,0,0.00183744,0,0,0.0029856,0,0,0,0,0,0,0,0,0,0.14351802,0.0602232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009477
